Unnamed: 0,Gene,scores,log2FC,p_value,q_value
280,Ppp1r15a,4.3256364,0.5135829,1.613904419422126e-05,0.0005760525739806
281,Tgm2,4.323698,0.48993614,1.6222296111077795e-05,0.0005783593124423
282,Klrb1a,4.3229423,1.3741724,1.6793404845004312e-05,0.0005932714455653
283,Nop53,4.3199415,0.18213159,1.6407829264411423e-05,0.0005836338168932
284,Nsmaf,4.318763,0.21339355,1.6511823458558806e-05,0.0005859904615527
285,Chst12,4.3177323,0.32723486,1.6658903905802352e-05,0.0005898619646372
286,Stoml1,4.314932,0.5287648,1.698401971441464e-05,0.000598174069871
287,Tfr2,4.3131943,0.35919064,1.6989969717136484e-05,0.000598174069871
288,Fhl1,4.30066,0.6582921,1.814197965069092e-05,0.0006329559776613
289,Aph1c,4.292637,0.71623695,1.876883515508197e-05,0.0006504783907039
290,Gbp4,4.292186,1.1325394,1.885854582639851e-05,0.0006528588891272
291,Txlna,4.28759,0.2346088,1.90329303129344e-05,0.0006566995388972
292,Ptprm,4.2741656,0.6792465,2.0289869603250623e-05,0.0006939001330283
293,Creb3l2,4.2710123,0.4629667,2.0574156267950284e-05,0.0007005364852945
294,Traf3ip2,4.2684207,0.5294906,2.092254929390247e-05,0.0007094910207582
295,4930481A15Rik,4.2645864,0.65196395,2.126969031109002e-05,0.0007194855046081
296,Csgalnact1,4.2533245,0.35389614,2.219551898544432e-05,0.0007467361333206
297,Gm16599,4.2528634,0.6070342,2.247911035345454e-05,0.0007538270127492
298,Tomm34,4.248864,0.24747361,2.2609654006090437e-05,0.0007565706744085
299,Sesn3,4.2334366,0.35322842,2.422605459258213e-05,0.0008054514703034
300,Tsc22d3,4.2326097,0.30467498,2.4252970651622444e-05,0.0008054839547003
301,Ttc23,4.2206926,1.2042826,2.6233461384796367e-05,0.0008620398691873
302,Trim6,4.2108693,0.60736585,2.689892852941485e-05,0.0008801816940188
303,Pou6f1,4.2098174,0.64509,2.7017397321218494e-05,0.0008831276200166
304,L3mbtl3,4.199918,0.41918847,2.8149652168833383e-05,0.0009172414992642
